"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0,0.0099999998,-0.0015,1.4776,0,0,0,0,0,0,0,0,2.106715
0.00098039221,0.0099999998,-0.0015,1.4777775,0.0012502113,0,-2.8843026e-06,8.4955202e-05,0,-2.8843026e-06,8.4955202e-05,0,2.106555
0.0019607844,0.0099999998,-0.0015,1.4781851,0.0024684351,0,-9.5766827e-06,0.00017671101,0,-9.5766827e-06,0.00017671101,0,2.1059799
0.0029411765,0.0099999998,-0.0015,1.4788976,0.0036190874,0,-2.1886075e-05,0.00027788876,0,-2.1886075e-05,0.00027788876,0,2.1049201
0.0039215689,0.0099999998,-0.0015,1.47987,0.0046751322,0,-4.0687552e-05,0.00038123201,0,-4.0687552e-05,0.00038123201,0,2.1034601
0.004901961,0.0099999998,-0.0015,1.481055,0.0056253173,0,-6.5672073e-05,0.00048128699,0,-6.5672073e-05,0.00048128699,0,2.1016974
0.0058823531,0.0099999998,-0.0015,1.4824125,0.0064703627,0,-9.6508229e-05,0.00057807547,0,-9.6508229e-05,0.00057807547,0,2.099685
0.0068627452,0.0099999998,-0.0015,1.4839175,0.0072163101,0,-0.00013306249,0.00067189196,0,-0.00013306249,0.00067189196,0,2.097455
0.0078431377,0.0099999998,-0.0015,1.48555,0.007870622,0,-0.00017513349,0.00076092326,0,-0.00017513349,0.00076092326,0,2.0950325
0.0088235298,0.0099999998,-0.0015,1.48729,0.0084415525,0,-0.000222421,0.00084178022,0,-0.000222421,0.00084178022,0,2.0924475
0.0098039219,0.0099999998,-0.0015,1.4891225,0.0089382101,0,-0.00027447101,0.00091145025,0,-0.00027447101,0.00091145025,0,2.0897274
0.010784314,0.0099999998,-0.0015,1.49103,0.0093699247,0,-0.000330671,0.0009688565,0,-0.000330671,0.0009688565,0,2.08689
0.011764706,0.0099999998,-0.0015,1.4930025,0.0097455578,0,-0.000390267,0.0010152012,0,-0.000390267,0.0010152012,0,2.0839577
0.012745098,0.0099999998,-0.0015,1.4950325,0.010072955,0,-0.00045267149,0.0010532124,0,-0.00045267149,0.0010532124,0,2.0809376
0.01372549,0.0099999998,-0.0015,1.49711,0.010358797,0,-0.00051755348,0.0010863401,0,-0.00051755348,0.0010863401,0,2.0778375
0.014705882,0.0099999998,-0.0015,1.4992325,0.01060872,0,-0.00058471248,0.0011182351,0,-0.00058471248,0.0011182351,0,2.0746727
0.015686275,0.0099999998,-0.0015,1.501395,0.010827372,0,-0.00065395504,0.0011527375,0,-0.00065395504,0.0011527375,0,2.071445
0.016666668,0.0099999998,-0.0015,1.50359,0.011018598,0,-0.00072533172,0.0011940026,0,-0.00072533172,0.0011940026,0,2.0681601
0.01764706,0.0099999998,-0.0015,1.5058125,0.011185518,0,-0.00079932099,0.0012461999,0,-0.00079932099,0.0012461999,0,2.0648301
