#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.001	1.874536e-04	9.372682e-05	9.372682e-05	-1.452473e-07	2.758711e-06	-2.903958e-06	2.831334e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.002	1.737834e-04	8.689170e-05	8.689170e-05	-2.498607e-07	2.514532e-06	-2.764393e-06	2.639462e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	1.633888e-04	8.169438e-05	8.169438e-05	-3.312144e-07	2.328983e-06	-2.660197e-06	2.494590e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.004	1.522253e-04	7.611263e-05	7.611263e-05	-1.808242e-07	2.216625e-06	-2.397449e-06	2.307037e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005	1.418081e-04	7.090407e-05	7.090407e-05	-1.199782e-07	2.082774e-06	-2.202752e-06	2.142763e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.332408e-04	6.662039e-05	6.662039e-05	-8.939620e-08	1.965925e-06	-2.055321e-06	2.010623e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.007	1.259687e-04	6.298434e-05	6.298434e-05	-6.188566e-08	1.867156e-06	-1.929041e-06	1.898098e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.008	1.201236e-04	6.006181e-05	6.006181e-05	-1.829040e-08	1.795525e-06	-1.813816e-06	1.804671e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.154749e-04	5.773747e-05	5.773747e-05	4.055905e-08	1.747645e-06	-1.707086e-06	1.727366e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01	1.117434e-04	5.587169e-05	5.587169e-05	9.779416e-08	1.712850e-06	-1.615056e-06	1.663953e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.011	1.085630e-04	5.428152e-05	5.428152e-05	1.205195e-07	1.673471e-06	-1.552951e-06	1.613211e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.012	1.058544e-04	5.292720e-05	5.292720e-05	1.146128e-07	1.630534e-06	-1.515921e-06	1.573227e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.013	1.035516e-04	5.177578e-05	5.177578e-05	9.170020e-08	1.587413e-06	-1.495713e-06	1.541563e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.014	1.015893e-04	5.079466e-05	5.079466e-05	7.152937e-08	1.550432e-06	-1.478902e-06	1.514667e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.015	9.998757e-05	4.999378e-05	4.999378e-05	6.255950e-08	1.523056e-06	-1.460497e-06	1.491776e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.016	9.868313e-05	4.934157e-05	4.934157e-05	3.616924e-08	1.493659e-06	-1.457490e-06	1.475574e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.017	9.763884e-05	4.881942e-05	4.881942e-05	1.190739e-08	1.468965e-06	-1.457058e-06	1.463011e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
