"U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,-0.73929,1,0,0.12,0,0
0.086832,0.0010078,0,-0.0083918,-0.010547,0,-0.0083918,-0.010547,0,-0.73943,1,5e-05,0.12,5e-05,0
0.17366,0.0020156,0,-0.016784,-0.021095,0,-0.016784,-0.021095,0,-0.73957,1,0.0001,0.12,0.0001,0
0.2605,0.0030234,0,-0.025176,-0.031642,0,-0.025176,-0.031642,0,-0.7397,1,0.00015,0.12,0.00015,0
0.34733,0.0040312,0,-0.033567,-0.042189,0,-0.033567,-0.042189,0,-0.73984,1,0.0002,0.12,0.0002,0
0.43416,0.005039,0,-0.041959,-0.052736,0,-0.041959,-0.052736,0,-0.73998,1,0.00025,0.12,0.00025,0
0.52099,0.0060468,0,-0.050351,-0.063284,0,-0.050351,-0.063284,0,-0.74012,1,0.0003,0.12,0.0003,0
0.60783,0.0070546,0,-0.058743,-0.073831,0,-0.058743,-0.073831,0,-0.74026,1,0.00035,0.12,0.00035,0
0.69466,0.0080625,0,-0.067135,-0.084378,0,-0.067135,-0.084378,0,-0.7404,1,0.0004,0.12,0.0004,0
0.78149,0.0090703,0,-0.075527,-0.094925,0,-0.075527,-0.094925,0,-0.74054,1,0.00045,0.12,0.00045,0
0.86832,0.010078,0,-0.083918,-0.10547,0,-0.083918,-0.10547,0,-0.74068,1,0.0005,0.12,0.0005,0
0.95516,0.011086,0,-0.09231,-0.11602,0,-0.09231,-0.11602,0,-0.74081,1,0.00055,0.12,0.00055,0
1.042,0.012094,0,-0.1007,-0.12657,0,-0.1007,-0.12657,0,-0.74095,1,0.0006,0.12,0.0006,0
1.1288,0.013101,0,-0.10909,-0.13711,0,-0.10909,-0.13711,0,-0.74109,1,0.00065,0.12,0.00065,0
1.2157,0.014109,0,-0.11749,-0.14766,0,-0.11749,-0.14766,0,-0.74123,1,0.0007,0.12,0.0007,0
1.3025,0.015117,0,-0.12588,-0.15821,0,-0.12588,-0.15821,0,-0.74137,1,0.00075,0.12,0.00075,0
1.3893,0.016125,0,-0.13427,-0.16876,0,-0.13427,-0.16876,0,-0.74151,1,0.0008,0.12,0.0008,0
1.4762,0.017133,0,-0.14266,-0.1793,0,-0.14266,-0.1793,0,-0.74165,1,0.00085,0.12,0.00085,0
1.563,0.018141,0,-0.15105,-0.18985,0,-0.15105,-0.18985,0,-0.74179,1,0.0009,0.12,0.0009,0
1.6498,0.019148,0,-0.15945,-0.2004,0,-0.15945,-0.2004,0,-0.74193,1,0.00095,0.12,0.00095,0
1.7366,0.020156,0,-0.16784,-0.21095,0,-0.16784,-0.21095,0,-0.74206,1,0.001,0.12,0.001,0
1.7599,0.020328,0,-0.18304,-0.22069,0,-0.18304,-0.22069,0,-0.74254,1,0.00105,0.12,0.00105,0
1.7831,0.0205,0,-0.19824,-0.23043,0,-0.19824,-0.23043,0,-0.74302,1,0.0011,0.12,0.0011,0
1.8064,0.020672,0,-0.21344,-0.24017,0,-0.21344,-0.24017,0,-0.74349,1,0.00115,0.12,0.00115,0
1.8296,0.020843,0,-0.22864,-0.24991,0,-0.22864,-0.24991,0,-0.74397,1,0.0012,0.12,0.0012,0
1.8528,0.021015,0,-0.24384,-0.25965,0,-0.24384,-0.25965,0,-0.74444,1,0.00125,0.12,0.00125,0
1.8761,0.021187,0,-0.25904,-0.26939,0,-0.25904,-0.26939,0,-0.74492,1,0.0013,0.12,0.0013,0
1.8993,0.021359,0,-0.27424,-0.27913,0,-0.27424,-0.27913,0,-0.74539,1,0.00135,0.12,0.00135,0
1.9226,0.021531,0,-0.28944,-0.28887,0,-0.28944,-0.28887,0,-0.74587,1,0.0014,0.12,0.0014,0
1.9458,0.021702,0,-0.30464,-0.29861,0,-0.30464,-0.29861,0,-0.74634,1,0.00145,0.12,0.00145,0
1.9691,0.021874,0,-0.31984,-0.30835,0,-0.31984,-0.30835,0,-0.74682,1,0.0015,0.12,0.0015,0
1.9923,0.022046,0,-0.33504,-0.31809,0,-0.33504,-0.31809,0,-0.7473,1,0.00155,0.12,0.00155,0
2.0155,0.022218,0,-0.35024,-0.32783,0,-0.35024,-0.32783,0,-0.74777,1,0.0016,0.12,0.0016,0
2.0388,0.02239,0,-0.36544,-0.33757,0,-0.36544,-0.33757,0,-0.74825,1,0.00165,0.12,0.00165,0
2.062,0.022562,0,-0.38064,-0.34731,0,-0.38064,-0.34731,0,-0.74872,1,0.0017,0.12,0.0017,0
2.0853,0.022733,0,-0.39584,-0.35705,0,-0.39584,-0.35705,0,-0.7492,1,0.00175,0.12,0.00175,0
