#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.00096	2.016217e-04	1.008108e-04	1.008108e-04	-7.037944e-08	5.012587e-06	-5.082967e-06	5.047777e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00204	1.862833e-04	9.314167e-05	9.314167e-05	-1.752704e-07	4.590357e-06	-4.765627e-06	4.677992e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	1.753460e-04	8.767299e-05	8.767299e-05	-1.665264e-07	4.320878e-06	-4.487404e-06	4.404141e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00396	1.648620e-04	8.243101e-05	8.243101e-05	-9.523232e-08	4.085297e-06	-4.180529e-06	4.132913e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00504	1.525023e-04	7.625116e-05	7.625116e-05	-8.552421e-09	3.808583e-06	-3.817136e-06	3.812860e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.428828e-04	7.144141e-05	7.144141e-05	3.679289e-08	3.585249e-06	-3.548456e-06	3.566852e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00696	1.343724e-04	6.718618e-05	6.718618e-05	4.574837e-08	3.375830e-06	-3.330082e-06	3.352956e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00804	1.264216e-04	6.321081e-05	6.321081e-05	4.795566e-08	3.178027e-06	-3.130071e-06	3.154049e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.205556e-04	6.027779e-05	6.027779e-05	3.573446e-08	3.026831e-06	-2.991096e-06	3.008964e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00996	1.158768e-04	5.793841e-05	5.793841e-05	2.100814e-08	2.904453e-06	-2.883445e-06	2.893949e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
