#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.001	2.452808e-04	1.226404e-04	1.226404e-04	3.810901e-07	6.271498e-06	-5.890408e-06	6.080953e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.002	2.256587e-04	1.128293e-04	1.128293e-04	1.118809e-07	5.683755e-06	-5.571874e-06	5.627814e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	2.101619e-04	1.050809e-04	1.050809e-04	-1.295885e-08	5.251937e-06	-5.264896e-06	5.258417e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.004	1.958104e-04	9.790522e-05	9.790522e-05	-7.898440e-08	4.869225e-06	-4.948209e-06	4.908717e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005	1.814178e-04	9.070888e-05	9.070888e-05	-2.760757e-08	4.526417e-06	-4.554024e-06	4.540221e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.689707e-04	8.448536e-05	8.448536e-05	2.714307e-08	4.233517e-06	-4.206374e-06	4.219946e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.007	1.582478e-04	7.912389e-05	7.912389e-05	-2.864565e-08	3.944823e-06	-3.973469e-06	3.959146e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.008	1.491493e-04	7.457467e-05	7.457467e-05	-7.800416e-08	3.699295e-06	-3.777299e-06	3.738297e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.416207e-04	7.081033e-05	7.081033e-05	-9.104097e-08	3.506288e-06	-3.597329e-06	3.551809e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01	1.355532e-04	6.777661e-05	6.777661e-05	-7.179596e-08	3.361834e-06	-3.433630e-06	3.397732e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.011	1.303684e-04	6.518421e-05	6.518421e-05	-3.898393e-08	3.244446e-06	-3.283430e-06	3.263938e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.012	1.258439e-04	6.292193e-05	6.292193e-05	-9.375992e-09	3.142398e-06	-3.151774e-06	3.147086e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.013	1.219878e-04	6.099390e-05	6.099390e-05	3.221415e-09	3.050891e-06	-3.047669e-06	3.049280e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.014	1.186948e-04	5.934740e-05	5.934740e-05	7.184864e-09	2.970154e-06	-2.962969e-06	2.966561e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.015	1.157940e-04	5.789701e-05	5.789701e-05	-1.047227e-11	2.895131e-06	-2.895142e-06	2.895137e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.016	1.132519e-04	5.662594e-05	5.662594e-05	-1.014460e-08	2.828047e-06	-2.838192e-06	2.833119e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.017	1.111126e-04	5.555632e-05	5.555632e-05	-2.553189e-08	2.768915e-06	-2.794447e-06	2.781681e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.018	1.092700e-04	5.463499e-05	5.463499e-05	-3.681040e-08	2.718768e-06	-2.755578e-06	2.737173e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.019	1.077182e-04	5.385908e-05	5.385908e-05	-4.626286e-08	2.676553e-06	-2.722816e-06	2.699684e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02	1.064041e-04	5.320204e-05	5.320204e-05	-5.145070e-08	2.641779e-06	-2.693229e-06	2.667504e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.021	1.053178e-04	5.265891e-05	5.265891e-05	-5.053413e-08	2.614939e-06	-2.665473e-06	2.640206e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.022	1.044015e-04	5.220075e-05	5.220075e-05	-5.764086e-08	2.589479e-06	-2.647120e-06	2.618300e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.023	1.036423e-04	5.182117e-05	5.182117e-05	-5.402006e-08	2.571808e-06	-2.625828e-06	2.598818e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.024	1.029697e-04	5.148483e-05	5.148483e-05	-5.058049e-08	2.556250e-06	-2.606830e-06	2.581540e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.025	1.023738e-04	5.118691e-05	5.118691e-05	-3.982385e-08	2.545212e-06	-2.585036e-06	2.565124e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.026	1.018387e-04	5.091934e-05	5.091934e-05	-2.434722e-08	2.537455e-06	-2.561802e-06	2.549629e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.027	1.013357e-04	5.066787e-05	5.066787e-05	-3.976386e-09	2.532239e-06	-2.536215e-06	2.534227e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.028	1.008285e-04	5.041425e-05	5.041425e-05	1.810586e-08	2.527506e-06	-2.509400e-06	2.518453e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.029	1.003532e-04	5.017661e-05	5.017661e-05	4.209434e-08	2.524296e-06	-2.482201e-06	2.503249e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.03	9.985836e-05	4.992918e-05	4.992918e-05	6.475566e-08	2.520104e-06	-2.455348e-06	2.487726e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.031	9.939499e-05	4.969750e-05	4.969750e-05	7.871298e-08	2.513615e-06	-2.434902e-06	2.474259e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.032	9.892958e-05	4.946479e-05	4.946479e-05	9.453769e-08	2.507656e-06	-2.413118e-06	2.460387e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.033	9.849610e-05	4.924805e-05	4.924805e-05	1.013614e-07	2.499258e-06	-2.397896e-06	2.448577e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.034	9.806310e-05	4.903155e-05	4.903155e-05	1.145596e-07	2.493181e-06	-2.378622e-06	2.435901e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.035	9.764286e-05	4.882143e-05	4.882143e-05	1.237200e-07	2.485953e-06	-2.362233e-06	2.424093e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.036	9.722942e-05	4.861471e-05	4.861471e-05	1.221252e-07	2.475001e-06	-2.352876e-06	2.413939e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.037	9.682639e-05	4.841319e-05	4.841319e-05	1.214575e-07	2.464644e-06	-2.343187e-06	2.403915e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.038	9.646912e-05	4.823456e-05	4.823456e-05	1.210808e-07	2.455520e-06	-2.334439e-06	2.394980e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
