#Forceandmomentcoefficients
#dragDir:(1.000000e+000.000000e+000.000000e+00)
#sideDir:(0.000000e+000.000000e+00-1.000000e+00)
#liftDir:(0.000000e+001.000000e+000.000000e+00)
#rollAxis:(1.000000e+000.000000e+000.000000e+00)
#pitchAxis:(0.000000e+000.000000e+00-1.000000e+00)
#yawAxis:(0.000000e+001.000000e+000.000000e+00)
#magUInf:1.477700e+00
#lRef:1.000000e+00
#Aref:1.000000e+00
#CofR:(0.000000e+000.000000e+000.000000e+00)
#
Time	Cd	Cd(f)	Cd(r)	Cl	Cl(f)	Cl(r)	CmPitch	CmRoll	CmYaw	Cs	Cs(f)	Cs(r)
0.001	1.687074e-04	8.435372e-05	8.435372e-05	1.290053e-07	2.578430e-06	-2.449425e-06	2.513927e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.002	1.593212e-04	7.966060e-05	7.966060e-05	9.089793e-08	2.421165e-06	-2.330267e-06	2.375716e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003	1.502426e-04	7.512131e-05	7.512131e-05	2.157379e-07	2.332199e-06	-2.116461e-06	2.224330e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.004	1.408455e-04	7.042274e-05	7.042274e-05	1.937340e-07	2.183355e-06	-1.989621e-06	2.086488e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005	1.321269e-04	6.606345e-05	6.606345e-05	2.488232e-07	2.074352e-06	-1.825529e-06	1.949941e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006	1.247695e-04	6.238473e-05	6.238473e-05	2.611717e-07	1.967926e-06	-1.706754e-06	1.837340e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.007	1.186663e-04	5.933317e-05	5.933317e-05	3.645927e-07	1.914470e-06	-1.549878e-06	1.732174e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.008	1.137011e-04	5.685054e-05	5.685054e-05	4.752135e-07	1.881027e-06	-1.405814e-06	1.643420e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009	1.099694e-04	5.498469e-05	5.498469e-05	4.985657e-07	1.833809e-06	-1.335243e-06	1.584526e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01	1.067495e-04	5.337476e-05	5.337476e-05	4.643834e-07	1.773042e-06	-1.308659e-06	1.540850e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.011	1.039980e-04	5.199900e-05	5.199900e-05	4.105117e-07	1.712212e-06	-1.301700e-06	1.506956e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.012	1.017457e-04	5.087287e-05	5.087287e-05	2.734260e-07	1.628106e-06	-1.354680e-06	1.491393e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.013	9.984993e-05	4.992496e-05	4.992496e-05	9.454459e-08	1.533740e-06	-1.439195e-06	1.486468e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.014	9.831998e-05	4.915999e-05	4.915999e-05	-1.818482e-07	1.408774e-06	-1.590622e-06	1.499698e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
