# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.477700e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00096       	2.166883e-04	1.083442e-04	1.083442e-04	-8.415225e-08	3.220009e-06	-3.304162e-06	3.262085e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00204       	1.992272e-04	9.961361e-05	9.961361e-05	-2.259592e-07	2.906392e-06	-3.132351e-06	3.019372e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003         	1.864857e-04	9.324287e-05	9.324287e-05	-2.348949e-07	2.712140e-06	-2.947035e-06	2.829587e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00396       	1.739659e-04	8.698296e-05	8.698296e-05	-2.109635e-07	2.533147e-06	-2.744110e-06	2.638628e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00504       	1.604376e-04	8.021878e-05	8.021878e-05	-1.863564e-07	2.339236e-06	-2.525592e-06	2.432414e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	1.506900e-04	7.534502e-05	7.534502e-05	-1.453199e-07	2.208124e-06	-2.353444e-06	2.280784e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00696       	1.424255e-04	7.121277e-05	7.121277e-05	-1.116779e-07	2.096444e-06	-2.208122e-06	2.152283e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00804       	1.349528e-04	6.747638e-05	6.747638e-05	-7.765516e-08	1.996748e-06	-2.074403e-06	2.035575e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.009         	1.296638e-04	6.483190e-05	6.483190e-05	-5.540271e-08	1.925607e-06	-1.981010e-06	1.953308e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00996       	1.252994e-04	6.264972e-05	6.264972e-05	-4.635032e-08	1.863618e-06	-1.909969e-06	1.886793e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
