# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.00012       	DILUPBiCG	1.000000e+00	5.842400e-10	5	0.000000e+00	0.000000e+00	0	false	GAMG	1.000000e+00	8.739580e-03	17	true
0.00024       	DILUPBiCG	2.406550e-01	1.846860e-09	5	3.329230e-01	6.385360e-10	6	false	GAMG	1.252010e-02	9.546620e-05	17	true
0.00036       	DILUPBiCG	8.027140e-03	8.941800e-09	4	1.440710e-02	1.042720e-09	5	false	GAMG	1.005450e-01	6.736920e-04	8	true
0.00048       	DILUPBiCG	7.832220e-03	4.822070e-09	4	1.476830e-02	1.480030e-09	5	false	GAMG	4.762290e-02	4.558010e-04	6	true
0.0006        	DILUPBiCG	7.423730e-03	5.811840e-09	4	1.373310e-02	3.437400e-09	5	false	GAMG	3.388200e-02	3.258110e-04	5	true
0.00072       	DILUPBiCG	7.198720e-03	6.485440e-09	4	1.301180e-02	6.858430e-10	5	false	GAMG	2.955200e-02	2.852240e-04	6	true
0.00084       	DILUPBiCG	7.055910e-03	5.058350e-09	4	1.273240e-02	7.939400e-10	5	false	GAMG	2.734500e-02	2.257340e-04	6	true
0.00096       	DILUPBiCG	6.899770e-03	4.439380e-09	4	1.233980e-02	8.774060e-10	5	false	GAMG	2.313410e-02	1.966970e-04	7	true
0.00108       	DILUPBiCG	6.763460e-03	3.955740e-09	4	1.207350e-02	9.096790e-10	5	false	GAMG	2.410860e-02	2.353070e-04	7	true
0.0012        	DILUPBiCG	6.644170e-03	3.114070e-09	4	1.195560e-02	8.080570e-10	5	false	GAMG	2.140050e-02	1.896290e-04	7	true
0.00132       	DILUPBiCG	6.503870e-03	2.538040e-09	4	1.174060e-02	7.489070e-10	5	false	GAMG	2.121010e-02	1.801080e-04	7	true
0.00144       	DILUPBiCG	6.382690e-03	2.422190e-09	4	1.155470e-02	8.529620e-10	5	false	GAMG	1.949200e-02	1.450910e-04	8	true
0.00156       	DILUPBiCG	6.275860e-03	2.708680e-09	4	1.145180e-02	1.648840e-09	5	false	GAMG	1.846880e-02	1.845420e-04	8	true
0.00168       	DILUPBiCG	6.167860e-03	2.988980e-09	4	1.126320e-02	3.056120e-11	6	false	GAMG	1.683800e-02	1.538000e-04	8	true
0.0018        	DILUPBiCG	6.059820e-03	3.477290e-09	4	1.113600e-02	3.167570e-09	5	false	GAMG	1.746260e-02	1.628760e-04	8	true
0.00192       	DILUPBiCG	5.954060e-03	3.948840e-09	4	1.091800e-02	1.957770e-09	5	false	GAMG	1.577020e-02	1.423620e-04	8	true
0.00204       	DILUPBiCG	5.856740e-03	4.632780e-09	4	1.077910e-02	1.679020e-09	5	false	GAMG	1.525860e-02	1.454260e-04	8	true
0.00216       	DILUPBiCG	5.760370e-03	5.425370e-09	4	1.062290e-02	1.674170e-09	5	false	GAMG	1.660870e-02	1.434230e-04	8	true
0.00228       	DILUPBiCG	5.662990e-03	6.434660e-09	4	1.047360e-02	2.031280e-09	5	false	GAMG	1.630500e-02	1.481880e-04	8	true
0.0024        	DILUPBiCG	5.579790e-03	7.161750e-09	4	1.039350e-02	3.094440e-09	5	false	GAMG	1.575880e-02	1.474530e-04	8	true
0.00252       	DILUPBiCG	5.493350e-03	7.698700e-09	4	1.031320e-02	3.846440e-09	5	false	GAMG	1.546110e-02	1.444020e-04	8	true
0.00264       	DILUPBiCG	5.404480e-03	8.503090e-09	4	1.016980e-02	9.032440e-11	6	false	GAMG	1.487050e-02	1.444980e-04	8	true
0.00276       	DILUPBiCG	5.321450e-03	9.241480e-09	4	1.003450e-02	2.045030e-09	5	false	GAMG	1.530700e-02	1.465890e-04	8	true
0.00288       	DILUPBiCG	5.236530e-03	2.044000e-10	5	9.930360e-03	1.068190e-09	5	false	GAMG	1.589470e-02	1.447810e-04	8	true
0.003         	DILUPBiCG	5.146470e-03	1.867580e-10	5	9.811380e-03	9.976550e-10	5	false	GAMG	1.491910e-02	1.449980e-04	8	true
0.00312       	DILUPBiCG	5.057480e-03	1.714110e-10	5	9.714520e-03	9.172710e-10	5	false	GAMG	1.442370e-02	1.034310e-04	9	true
0.00324       	DILUPBiCG	4.976770e-03	1.621720e-10	5	9.627130e-03	9.112600e-10	5	false	GAMG	1.432290e-02	1.063750e-04	9	true
0.00336       	DILUPBiCG	4.894000e-03	1.518730e-10	5	9.503970e-03	8.788540e-10	5	false	GAMG	1.460180e-02	1.067800e-04	9	true
0.00348       	DILUPBiCG	4.815940e-03	2.372640e-10	5	9.383830e-03	8.584050e-10	5	false	GAMG	1.446020e-02	1.047780e-04	9	true
0.0036        	DILUPBiCG	4.740810e-03	7.207870e-09	4	9.262470e-03	8.440210e-10	5	false	GAMG	1.461410e-02	1.037490e-04	9	true
0.00372       	DILUPBiCG	4.665030e-03	7.819320e-09	4	9.136800e-03	8.371510e-10	5	false	GAMG	1.512990e-02	1.499780e-04	8	true
0.00384       	DILUPBiCG	4.594490e-03	9.153490e-09	4	9.017670e-03	8.353410e-10	5	false	GAMG	1.443760e-02	1.018540e-04	9	true
0.00396       	DILUPBiCG	4.524350e-03	9.872030e-09	4	8.915840e-03	8.719760e-10	5	false	GAMG	1.407020e-02	1.054380e-04	9	true
0.00408       	DILUPBiCG	4.456570e-03	3.026600e-10	5	8.778560e-03	9.144640e-10	5	false	GAMG	1.437550e-02	1.084110e-04	9	true
0.0042        	DILUPBiCG	4.388120e-03	3.191230e-10	5	8.652410e-03	9.591520e-10	5	false	GAMG	1.470960e-02	1.050910e-04	9	true
0.00432       	DILUPBiCG	4.321200e-03	3.631680e-10	5	8.538350e-03	1.024910e-09	5	false	GAMG	1.506630e-02	1.502560e-04	8	true
0.00444       	DILUPBiCG	4.257270e-03	4.052630e-10	5	8.409010e-03	1.062860e-09	5	false	GAMG	1.448410e-02	1.016860e-04	9	true
0.00456       	DILUPBiCG	4.197690e-03	9.920750e-09	4	8.278780e-03	1.085140e-09	5	false	GAMG	1.390920e-02	1.051260e-04	9	true
0.00468       	DILUPBiCG	4.137890e-03	9.492480e-09	4	8.157370e-03	1.112530e-09	5	false	GAMG	1.383110e-02	1.042740e-04	9	true
0.0048        	DILUPBiCG	4.078200e-03	9.013130e-09	4	8.045010e-03	1.172740e-09	5	false	GAMG	1.421370e-02	1.057830e-04	9	true
0.00492       	DILUPBiCG	4.015670e-03	8.442610e-09	4	7.922420e-03	1.202490e-09	5	false	GAMG	1.384360e-02	1.041810e-04	9	true
0.00504       	DILUPBiCG	3.958140e-03	8.114590e-09	4	7.792440e-03	1.248440e-09	5	false	GAMG	1.466200e-02	1.029610e-04	9	true
0.00516       	DILUPBiCG	3.901440e-03	8.021060e-09	4	7.677540e-03	1.245380e-09	5	false	GAMG	1.480780e-02	1.460720e-04	8	true
0.00528       	DILUPBiCG	3.849500e-03	8.014600e-09	4	7.568640e-03	1.042450e-09	5	false	GAMG	1.462890e-02	1.409030e-04	8	true
0.0054        	DILUPBiCG	3.796920e-03	8.251000e-09	4	7.456700e-03	1.024360e-09	5	false	GAMG	1.400790e-02	1.377340e-04	8	true
0.00552       	DILUPBiCG	3.740110e-03	8.820940e-09	4	7.337200e-03	1.491600e-09	5	false	GAMG	1.402560e-02	9.688060e-05	9	true
0.00564       	DILUPBiCG	3.690040e-03	9.375260e-09	4	7.229790e-03	1.879820e-09	5	false	GAMG	1.363430e-02	1.017610e-04	9	true
0.00576       	DILUPBiCG	3.638400e-03	4.801470e-10	5	7.115870e-03	1.817590e-09	5	false	GAMG	1.333490e-02	9.829260e-05	9	true
0.00588       	DILUPBiCG	3.588250e-03	5.639280e-10	5	7.007350e-03	1.876890e-09	5	false	GAMG	1.316550e-02	9.817530e-05	9	true
0.006         	DILUPBiCG	3.539090e-03	5.789590e-10	5	6.913750e-03	1.971700e-09	5	false	GAMG	1.331780e-02	9.539220e-05	9	true
0.00612       	DILUPBiCG	3.492450e-03	7.116620e-10	5	6.808730e-03	2.387590e-09	5	false	GAMG	1.326100e-02	9.464080e-05	9	true
0.00624       	DILUPBiCG	3.448170e-03	4.372090e-10	5	6.705910e-03	7.146310e-09	5	false	GAMG	1.310510e-02	9.474100e-05	9	true
0.00636       	DILUPBiCG	3.402600e-03	3.656190e-10	5	6.595650e-03	2.416550e-09	5	false	GAMG	1.258810e-02	9.500530e-05	9	true
0.00648       	DILUPBiCG	3.356870e-03	3.290470e-10	5	6.509360e-03	9.856920e-10	5	false	GAMG	1.199470e-02	9.325280e-05	9	true
0.0066        	DILUPBiCG	3.313150e-03	2.915400e-10	5	6.420760e-03	9.264860e-10	5	false	GAMG	1.188330e-02	9.211770e-05	9	true
0.00672       	DILUPBiCG	3.271420e-03	5.352360e-10	5	6.326620e-03	9.106770e-10	5	false	GAMG	1.245780e-02	9.174710e-05	9	true
0.00684       	DILUPBiCG	3.229630e-03	1.219630e-09	5	6.234010e-03	9.033230e-10	5	false	GAMG	1.208360e-02	9.068210e-05	9	true
0.00696       	DILUPBiCG	3.190430e-03	3.863610e-10	5	6.143500e-03	8.908740e-10	5	false	GAMG	1.229650e-02	9.023760e-05	9	true
0.00708       	DILUPBiCG	3.154040e-03	3.105300e-10	5	6.052620e-03	8.332370e-10	5	false	GAMG	1.233280e-02	9.045970e-05	9	true
0.0072        	DILUPBiCG	3.118610e-03	2.455750e-10	5	5.963150e-03	7.852700e-10	5	false	GAMG	1.166920e-02	8.912320e-05	9	true
0.00732       	DILUPBiCG	3.081290e-03	2.064660e-10	5	5.870380e-03	7.302940e-10	5	false	GAMG	1.200360e-02	8.966430e-05	9	true
0.00744       	DILUPBiCG	3.044080e-03	1.693280e-10	5	5.781330e-03	6.828560e-10	5	false	GAMG	1.189700e-02	9.017470e-05	9	true
0.00756       	DILUPBiCG	3.007680e-03	1.632650e-10	5	5.707730e-03	6.499120e-10	5	false	GAMG	1.150010e-02	9.022020e-05	9	true
0.00768       	DILUPBiCG	2.972640e-03	1.655360e-10	5	5.621620e-03	6.245930e-10	5	false	GAMG	1.108930e-02	8.929650e-05	9	true
0.0078        	DILUPBiCG	2.939400e-03	6.728400e-09	4	5.537690e-03	5.879870e-10	5	false	GAMG	1.110010e-02	8.886510e-05	9	true
0.00792       	DILUPBiCG	2.906210e-03	4.680980e-09	4	5.458280e-03	5.533270e-10	5	false	GAMG	1.137110e-02	8.921750e-05	9	true
0.00804       	DILUPBiCG	2.872650e-03	3.542500e-09	4	5.377510e-03	5.218310e-10	5	false	GAMG	1.132930e-02	8.897830e-05	9	true
0.00816       	DILUPBiCG	2.840440e-03	2.761490e-09	4	5.302780e-03	4.771610e-10	5	false	GAMG	1.096650e-02	9.009730e-05	9	true
0.00828       	DILUPBiCG	2.810180e-03	2.239740e-09	4	5.222760e-03	4.318790e-10	5	false	GAMG	1.089610e-02	9.017080e-05	9	true
0.0084        	DILUPBiCG	2.781000e-03	1.874720e-09	4	5.144150e-03	3.942990e-10	5	false	GAMG	1.070280e-02	9.038170e-05	9	true
0.00852       	DILUPBiCG	2.750450e-03	1.593920e-09	4	5.074680e-03	3.662060e-10	5	false	GAMG	1.079220e-02	9.128130e-05	9	true
0.00864       	DILUPBiCG	2.721130e-03	1.451260e-09	4	5.005300e-03	3.429270e-10	5	false	GAMG	1.025460e-02	8.878700e-05	9	true
0.00876       	DILUPBiCG	2.692850e-03	1.432750e-09	4	4.934720e-03	3.120890e-10	5	false	GAMG	9.989660e-03	8.955350e-05	9	true
0.00888       	DILUPBiCG	2.665950e-03	1.586940e-09	4	4.865020e-03	2.899170e-10	5	false	GAMG	9.921840e-03	8.973570e-05	9	true
0.009         	DILUPBiCG	2.639790e-03	1.913760e-09	4	4.795670e-03	2.719080e-10	5	false	GAMG	9.923130e-03	8.899790e-05	9	true
0.00912       	DILUPBiCG	2.614730e-03	2.771920e-09	4	4.729750e-03	9.864050e-09	4	false	GAMG	9.598770e-03	8.916810e-05	9	true
0.00924       	DILUPBiCG	2.590650e-03	7.646140e-09	4	4.657410e-03	9.651840e-09	4	false	GAMG	9.724040e-03	8.869780e-05	9	true
